#p_beam = 158 GeV/c
#Particle = pion+
#<p>/GeV/c  p*(dn/dp)  stat  syst-  syst+
4.34 0.963 0.00161 0.0208 0.0202
5.55 0.974 0.00127 0.026 0.0211
7.13 0.973 0.00131 0.0239 0.0208
8.97 0.965 0.00127 0.0221 0.0205
11.3 0.949 0.00123 0.0204 0.0196
14.2 0.924 0.0012 0.0189 0.0182
17.9 0.892 0.00117 0.0176 0.0166
22.5 0.845 0.00114 0.017 0.0161
28.4 0.795 0.00115 0.0163 0.0155
35.7 0.737 0.00125 0.0144 0.0138
45 0.667 0.0015 0.0133 0.0129
56.6 0.593 0.002 0.0136 0.0137
71.3 0.52 0.00332 0.013 0.0152
89.7 0.441 0.00436 0.0134 0.0129

#p_beam = 350 GeV/c
#Particle = kaon+
#<p>/GeV/c  p*(dn/dp)  stat  syst-  syst+
1.79 0.0702 0.00314 0.0135 0.00981
5.55 0.096 0.00135 0.00718 0.0151
7.13 0.0966 0.000903 0.00326 0.00844
8.97 0.0991 0.000675 0.00239 0.00604
11.3 0.1 0.000557 0.00197 0.00404
14.2 0.099 0.000506 0.00199 0.00324
17.9 0.0961 0.00048 0.00179 0.00242
22.5 0.0916 0.000506 0.00177 0.00203
28.4 0.0856 0.000584 0.00197 0.00198
35.7 0.0778 0.000749 0.00236 0.00217
45 0.0685 0.00111 0.00516 0.00395
56.6 0.0565 0.00138 0.0134 0.00755

#p_beam = 350 GeV/c
#Particle = kaon-
#<p>/GeV/c  p*(dn/dp)  stat  syst-  syst+
1.79 0.0421 0.00227 0.00598 0.00561
3.6 0.0573 0.00213 0.0099 0.00989
4.34 0.0726 0.00131 0.00508 0.00851
5.55 0.0844 0.000777 0.00308 0.0116
7.13 0.0907 0.000627 0.0019 0.00693
8.97 0.0921 0.000533 0.00172 0.00459
11.3 0.0948 0.000492 0.00171 0.00364
14.2 0.0959 0.000466 0.00159 0.00282
17.9 0.0938 0.000452 0.00175 0.00239
22.5 0.0916 0.000467 0.00155 0.00182
28.4 0.0881 0.000548 0.00163 0.00167
35.7 0.083 0.000727 0.00224 0.00213
45 0.0747 0.00111 0.00463 0.00356
56.6 0.0649 0.0016 0.0125 0.00718

#p_beam = 350 GeV/c
#Particle = proton+
#<p>/GeV/c  p*(dn/dp)  stat  syst-  syst+
3.08 0.154 0.00346 0.0151 0.0167
3.6 0.134 0.00246 0.015 0.0148
4.34 0.112 0.00145 0.00799 0.0105
5.55 0.0973 0.000794 0.00406 0.00886
7.13 0.0877 0.000593 0.00328 0.00569
8.97 0.0801 0.000474 0.00479 0.00405
11.3 0.0725 0.000392 0.0052 0.00356
14.2 0.0669 0.00035 0.00607 0.00446
17.9 0.0608 0.00033 0.00645 0.00516
22.5 0.0568 0.000339 0.00685 0.00535
28.4 0.052 0.000365 0.00718 0.00573
35.7 0.0475 0.00042 0.00685 0.00561
45 0.0438 0.000514 0.00638 0.00583
56.6 0.0408 0.000609 0.00574 0.00743
71.3 0.0385 0.00074 0.00608 0.00927
89.7 0.0313 0.000753 0.00588 0.0086

#p_beam = 350 GeV/c
#Particle = proton-
#<p>/GeV/c  p*(dn/dp)  stat  syst-  syst+
4.34 0.0223 0.000552 0.00388 0.00406
5.55 0.0259 0.000403 0.00442 0.00404
7.13 0.0308 0.00036 0.00513 0.00439
8.97 0.0348 0.000333 0.00565 0.00484
11.3 0.0378 0.000309 0.00552 0.00478
14.2 0.0401 0.000296 0.00556 0.00512
17.9 0.0415 0.00029 0.00537 0.00524
22.5 0.0422 0.000301 0.00539 0.00486
28.4 0.0418 0.000335 0.00563 0.00513
35.7 0.0409 0.000398 0.00554 0.005
45 0.0403 0.000514 0.00523 0.00504
56.6 0.0407 0.000652 0.00526 0.00686
71.3 0.0412 0.000844 0.00682 0.0106
89.7 0.0398 0.00112 0.00799 0.0111
